BisBasQ,BisBasResp,ExpEnd,ExpStart,StudyID,TimeEnd,TimeStart,Feedback,population,subject
bisbas-19,4,1.58E+12,1.58E+12,LWPCtufb:,2069292.3,1855677.385,fb,1,4
bisbas-20,3,1.58E+12,1.58E+12,LWPCtufb:,2069292.315,1855677.385,fb,1,4
bisbas-21,4,1.58E+12,1.58E+12,LWPCtufb:,2069292.335,1855677.385,fb,1,4
bisbas-22,1,1.58E+12,1.58E+12,LWPCtufb:,2069292.35,1855677.385,fb,1,4
bisbas-23,1,1.58E+12,1.58E+12,LWPCtufb:,2069292.37,1855677.385,fb,1,4
bisbas-24,4,1.58E+12,1.58E+12,LWPCtufb:,2069292.395,1855677.385,fb,1,4
bisbas-1,2,1.58E+12,1.58E+12,LWPCtufb:,2243901.27,1996288.86,fb,1,5
bisbas-2,4,1.58E+12,1.58E+12,LWPCtufb:,2243901.4,1996288.86,fb,1,5
bisbas-3,1,1.58E+12,1.58E+12,LWPCtufb:,2243901.41,1996288.86,fb,1,5
bisbas-4,1,1.58E+12,1.58E+12,LWPCtufb:,2243901.425,1996288.86,fb,1,5
bisbas-5,1,1.58E+12,1.58E+12,LWPCtufb:,2243901.445,1996288.86,fb,1,5
bisbas-6,1,1.58E+12,1.58E+12,LWPCtufb:,2243901.455,1996288.86,fb,1,5
bisbas-7,1,1.58E+12,1.58E+12,LWPCtufb:,2243901.46,1996288.86,fb,1,5
bisbas-8,1,1.58E+12,1.58E+12,LWPCtufb:,2243901.47,1996288.86,fb,1,5
bisbas-9,2,1.58E+12,1.58E+12,LWPCtufb:,2243901.475,1996288.86,fb,1,5
bisbas-10,1,1.58E+12,1.58E+12,LWPCtufb:,2243901.49,1996288.86,fb,1,5
bisbas-11,1,1.58E+12,1.58E+12,LWPCtufb:,2243901.5,1996288.86,fb,1,5
bisbas-12,2,1.58E+12,1.58E+12,LWPCtufb:,2243901.51,1996288.86,fb,1,5
bisbas-13,1,1.58E+12,1.58E+12,LWPCtufb:,2243901.52,1996288.86,fb,1,5
bisbas-14,1,1.58E+12,1.58E+12,LWPCtufb:,2243901.53,1996288.86,fb,1,5
bisbas-15,4,1.58E+12,1.58E+12,LWPCtufb:,2243901.545,1996288.86,fb,1,5
bisbas-16,1,1.58E+12,1.58E+12,LWPCtufb:,2243901.555,1996288.86,fb,1,5
bisbas-17,2,1.58E+12,1.58E+12,LWPCtufb:,2243901.57,1996288.86,fb,1,5
bisbas-18,1,1.58E+12,1.58E+12,LWPCtufb:,2243901.58,1996288.86,fb,1,5
bisbas-19,1,1.58E+12,1.58E+12,LWPCtufb:,2243901.595,1996288.86,fb,1,5
bisbas-20,2,1.58E+12,1.58E+12,LWPCtufb:,2243901.61,1996288.86,fb,1,5
bisbas-21,3,1.58E+12,1.58E+12,LWPCtufb:,2243901.625,1996288.86,fb,1,5
bisbas-22,4,1.58E+12,1.58E+12,LWPCtufb:,2243901.64,1996288.86,fb,1,5
bisbas-23,2,1.58E+12,1.58E+12,LWPCtufb:,2243901.66,1996288.86,fb,1,5
bisbas-24,1,1.58E+12,1.58E+12,LWPCtufb:,2243901.675,1996288.86,fb,1,5
bisbas-1,2,1.58E+12,1.58E+12,LWPCtufb:,2903263.085,2494783.8,fb,1,6
bisbas-2,1,1.58E+12,1.58E+12,LWPCtufb:,2903263.625,2494783.8,fb,1,6
bisbas-3,2,1.58E+12,1.58E+12,LWPCtufb:,2903263.675,2494783.8,fb,1,6
bisbas-4,1,1.58E+12,1.58E+12,LWPCtufb:,2903263.72,2494783.8,fb,1,6
bisbas-5,2,1.58E+12,1.58E+12,LWPCtufb:,2903263.815,2494783.8,fb,1,6
bisbas-6,1,1.58E+12,1.58E+12,LWPCtufb:,2903263.905,2494783.8,fb,1,6
