data,Feedback,population,question,subject
demos:Demographics:;,fb,1,TypeResp,73
M,fb,1,Gender,73
32,fb,1,Age,73
HL,fb,1,Ethnicity,73
AA,fb,1,Race,73
demos:Demographics:;,fb,1,TypeResp,74
T,fb,1,Gender,74
23,fb,1,Age,74
NHL,fb,1,Ethnicity,74
A,fb,1,Race,74
demos:Demographics:;,fb,1,TypeResp,75
M,fb,1,Gender,75
34,fb,1,Age,75
HL,fb,1,Ethnicity,75
M,fb,1,Race,75
demos:Demographics:;,fb,1,TypeResp,76
M,fb,1,Gender,76
33,fb,1,Age,76
NHL,fb,1,Ethnicity,76
A,fb,1,Race,76
demos:Demographics:;,fb,1,TypeResp,77
M,fb,1,Gender,77
36,fb,1,Age,77
NHL,fb,1,Ethnicity,77
W,fb,1,Race,77
demos:Demographics:;,fb,1,TypeResp,78
M,fb,1,Gender,78
34,fb,1,Age,78
NHL,fb,1,Ethnicity,78
W,fb,1,Race,78
demos:Demographics:;,fb,1,TypeResp,79
F,fb,1,Gender,79
28,fb,1,Age,79
NHL,fb,1,Ethnicity,79
AA,fb,1,Race,79
demos:Demographics:;,fb,1,TypeResp,80
M,fb,1,Gender,80
33,fb,1,Age,80
NHL,fb,1,Ethnicity,80
AA,fb,1,Race,80
demos:Demographics:;,fb,1,TypeResp,81
F,fb,1,Gender,81
27,fb,1,Age,81
HL,fb,1,Ethnicity,81
M,fb,1,Race,81
demos:Demographics:;,fb,1,TypeResp,82
F,fb,1,Gender,82
43,fb,1,Age,82
NHL,fb,1,Ethnicity,82
W,fb,1,Race,82
demos:Demographics:;,fb,1,TypeResp,83
M,fb,1,Gender,83
34,fb,1,Age,83
NHL,fb,1,Ethnicity,83
W,fb,1,Race,83
demos:Demographics:;,fb,1,TypeResp,84
F,fb,1,Gender,84
54,fb,1,Age,84
NHL,fb,1,Ethnicity,84
W,fb,1,Race,84
demos:Demographics:;,fb,1,TypeResp,85
F,fb,1,Gender,85
49,fb,1,Age,85
NHL,fb,1,Ethnicity,85
W,fb,1,Race,85
demos:Demographics:;,fb,1,TypeResp,86
M,fb,1,Gender,86
41,fb,1,Age,86
NHL,fb,1,Ethnicity,86
W,fb,1,Race,86
demos:Demographics:;,fb,1,TypeResp,87
